"Delivery Date","Hour Ending","QSE Name","Settlement Point Source","Settlement Point Sink","MW","Price","Offer ID","CRR ID"
"12/31/2020","1","QAEN","DECKER_DPG2","LZ_AEN","89","-.29","CRR16","51617972"
"12/31/2020","1","QAEN","EXGNWTL_1","LZ_AEN","1","5.87","CRR20","109233964"
"12/31/2020","1","QAEN","EXGNWTL_1","LZ_AEN","1","5.87","CRR22","109233965"
"12/31/2020","1","QAEN","EXGNWTL_1","LZ_AEN","1","5.87","CRR24","109233966"
"12/31/2020","1","QAEN","EXGNWTL_1","LZ_AEN","1","5.87","CRR26","109233967"
"12/31/2020","1","QAEN","EXGNWTL_1","LZ_AEN","4","5.87","CRR18","109233963"
"12/31/2020","1","QAEN","FPPYD_FPP_G1","LZ_AEN","285.9",".84","CRR42","51617975"
"12/31/2020","1","QAEN","HRFDWIND_ALL","LZ_AEN",".8",".65","CRR76","90294305"
"12/31/2020","1","QAEN","HRFDWIND_ALL","LZ_AEN","1",".65","CRR55","101376483"
"12/31/2020","1","QAEN","HRFDWIND_ALL","LZ_AEN","1",".65","CRR57","101376484"
"12/31/2020","1","QAEN","HRFDWIND_ALL","LZ_AEN","1",".65","CRR65","59352849"
"12/31/2020","1","QAEN","HRFDWIND_ALL","LZ_AEN","1",".65","CRR71","84819647"
"12/31/2020","1","QAEN","HRFDWIND_ALL","LZ_AEN","1",".65","CRR80","95500386"
"12/31/2020","1","QAEN","HRFDWIND_ALL","LZ_AEN","1",".65","CRR82","95500387"
"12/31/2020","1","QAEN","HRFDWIND_ALL","LZ_AEN","1",".65","CRR84","95500388"
"12/31/2020","1","QAEN","HRFDWIND_ALL","LZ_AEN","2",".65","CRR53","101376482"
"12/31/2020","1","QAEN","HRFDWIND_ALL","LZ_AEN","2",".65","CRR67","59352850"
"12/31/2020","1","QAEN","HRFDWIND_ALL","LZ_AEN","3",".65","CRR59","109234009"
"12/31/2020","1","QAEN","HRFDWIND_ALL","LZ_AEN","3",".65","CRR69","84819646"
"12/31/2020","1","QAEN","HRFDWIND_ALL","LZ_AEN","5",".65","CRR78","95500385"
"12/31/2020","1","QAEN","HWF_HWFG1","LZ_AEN","1",".8","CRR101","59352851"
"12/31/2020","1","QAEN","HWF_HWFG1","LZ_AEN","1",".8","CRR103","84819695"
"12/31/2020","1","QAEN","HWF_HWFG1","LZ_AEN","1",".8","CRR106","90294368"
"12/31/2020","1","QAEN","HWF_HWFG1","LZ_AEN","1",".8","CRR113","95500451"
"12/31/2020","1","QAEN","HWF_HWFG1","LZ_AEN","1",".8","CRR115","95500452"
"12/31/2020","1","QAEN","HWF_HWFG1","LZ_AEN","1",".8","CRR96","109234129"
"12/31/2020","1","QAEN","HWF_HWFG1","LZ_AEN","1",".8","CRR98","109234130"
"12/31/2020","1","QAEN","HWF_HWFG1","LZ_AEN","2",".8","CRR108","90294369"
"12/31/2020","1","QAEN","HWF_HWFG1","LZ_AEN","2",".8","CRR111","95500450"
"12/31/2020","1","QAEN","HWF_HWFG1","LZ_AEN","2",".8","CRR92","101376522"
"12/31/2020","1","QAEN","HWF_HWFG1","LZ_AEN","3",".8","CRR90","101376521"
"12/31/2020","1","QAEN","HWF_HWFG1","LZ_AEN","9",".8","CRR94","109234128"
"12/31/2020","1","QAEN","KARAKAW1_1","LZ_AEN","1","3.77","CRR132","109234157"
"12/31/2020","1","QAEN","KARAKAW1_1","LZ_AEN","1","3.77","CRR134","109234158"
"12/31/2020","1","QAEN","KARAKAW1_1","LZ_AEN","1","3.77","CRR136","109234159"
"12/31/2020","1","QAEN","KARAKAW1_1","LZ_AEN","1","3.77","CRR138","109234160"
"12/31/2020","1","QAEN","KARAKAW1_1","LZ_AEN","2","3.77","CRR124","101376532"
"12/31/2020","1","QAEN","KARAKAW1_1","LZ_AEN","2","3.77","CRR126","101376533"
"12/31/2020","1","QAEN","KARAKAW1_1","LZ_AEN","2","3.77","CRR128","101376534"
"12/31/2020","1","QAEN","KARAKAW1_1","LZ_AEN","3","3.77","CRR130","109234156"
"12/31/2020","1","QAEN","KARAKAW1_1","LZ_AEN","5","3.77","CRR122","101376531"
"12/31/2020","1","QAEN","LV3_UNIT1","LZ_AEN","1","12.1","CRR142","101376566"
"12/31/2020","1","QAEN","LV3_UNIT1","LZ_AEN","1","12.1","CRR146","109234261"
"12/31/2020","1","QAEN","LV3_UNIT1","LZ_AEN","1","12.1","CRR149","59352853"
"12/31/2020","1","QAEN","LV3_UNIT1","LZ_AEN","1","12.1","CRR153","84819726"
"12/31/2020","1","QAEN","LV3_UNIT1","LZ_AEN","1","12.1","CRR160","95500465"
"12/31/2020","1","QAEN","LV3_UNIT1","LZ_AEN","2","12.1","CRR151","59352854"
"12/31/2020","1","QAEN","LV3_UNIT1","LZ_AEN","2","12.1","CRR155","84819727"
"12/31/2020","1","QAEN","LV3_UNIT1","LZ_AEN","3","12.1","CRR144","109234260"
"12/31/2020","1","QAEN","LV3_UNIT1","LZ_AEN","4","12.1","CRR158","95500464"
"12/31/2020","1","QAEN","STP_STP_G1","LZ_AEN","214.4","1.04","CRR199","51617977"
"12/31/2020","1","QAEN","STP_STP_G2","LZ_AEN","214.4","1.04","CRR202","51617978"
"12/31/2020","1","QAEN","WEC_WECG1","LZ_AEN","1",".56","CRR209","101376328"
"12/31/2020","1","QAEN","WEC_WECG1","LZ_AEN","1",".56","CRR213","90294454"
"12/31/2020","1","QAEN","WEC_WECG1","LZ_AEN","1",".56","CRR216","95506269"
"12/31/2020","1","QAEN","WEC_WECG1","LZ_AEN","2",".56","CRR211","101376329"
"12/31/2020","1","QCPSE1","BRA_AVR1_CT2","LZ_CPS","0",".19","51617966_1","51617966"
"12/31/2020","1","QCPSE1","BRA_AVR1_CT2","LZ_CPS","19.9",".19","51617966_2","51617966"
"12/31/2020","1","QCPSE1","BRA_AVR_CST1","LZ_CPS","0",".19","51617967_1","51617967"
"12/31/2020","1","QCPSE1","BRA_AVR_CST1","LZ_CPS","0",".19","51617968_1","51617968"
"12/31/2020","1","QCPSE1","BRA_AVR_CST1","LZ_CPS","17.3",".19","51617968_2","51617968"
"12/31/2020","1","QCPSE1","BRA_AVR_CST1","LZ_CPS","29.3",".19","51617967_2","51617967"
"12/31/2020","1","QCPSE1","BRA_AVR_CST1","LZ_SOUTH",".5","-1.55","84816865_2","84816865"
"12/31/2020","1","QCPSE1","BRA_AVR_CST1","LZ_SOUTH",".5","-1.55","84816866_2","84816866"
"12/31/2020","1","QCPSE1","BRA_AVR_CST1","LZ_SOUTH",".6","-1.55","59353877_2","59353877"
"12/31/2020","1","QCPSE1","BRA_AVR_CST1","LZ_SOUTH",".6","-1.55","59353878_2","59353878"
"12/31/2020","1","QCPSE1","BRA_AVR_CST1","LZ_SOUTH",".6","-1.55","59353879_2","59353879"
"12/31/2020","1","QCPSE1","BRA_AVR_CST1","LZ_SOUTH",".7","-1.55","101360744_2","101360744"
"12/31/2020","1","QCPSE1","BRA_AVR_CST1","LZ_SOUTH",".9","-1.55","90292746_2","90292746"
"12/31/2020","1","QCPSE1","BRA_AVR_CST1","LZ_SOUTH","1.8","-1.55","84816866_1","84816866"
"12/31/2020","1","QCPSE1","BRA_AVR_CST1","LZ_SOUTH","1.9","-1.55","84816865_1","84816865"
"12/31/2020","1","QCPSE1","BRA_AVR_CST1","LZ_SOUTH","2.1","-1.55","101360801_2","101360801"
"12/31/2020","1","QCPSE1","BRA_AVR_CST1","LZ_SOUTH","2.1","-1.55","95504809_2","95504809"
"12/31/2020","1","QCPSE1","BRA_AVR_CST1","LZ_SOUTH","2.1","-1.55","95504810_2","95504810"
"12/31/2020","1","QCPSE1","BRA_AVR_CST1","LZ_SOUTH","2.3","-1.55","101360773_2","101360773"
"12/31/2020","1","QCPSE1","BRA_AVR_CST1","LZ_SOUTH","2.3","-1.55","59353877_1","59353877"
"12/31/2020","1","QCPSE1","BRA_AVR_CST1","LZ_SOUTH","2.3","-1.55","59353878_1","59353878"
"12/31/2020","1","QCPSE1","BRA_AVR_CST1","LZ_SOUTH","2.3","-1.55","59353879_1","59353879"
"12/31/2020","1","QCPSE1","BRA_AVR_CST1","LZ_SOUTH","3","-1.55","101360744_1","101360744"
"12/31/2020","1","QCPSE1","BRA_AVR_CST1","LZ_SOUTH","3.4","-1.55","90292746_1","90292746"
"12/31/2020","1","QCPSE1","BRA_AVR_CST1","LZ_SOUTH","8.3","-1.55","95504810_1","95504810"
"12/31/2020","1","QCPSE1","BRA_AVR_CST1","LZ_SOUTH","8.5","-1.55","101360801_1","101360801"
"12/31/2020","1","QCPSE1","BRA_AVR_CST1","LZ_SOUTH","8.5","-1.55","95504809_1","95504809"
"12/31/2020","1","QCPSE1","BRA_AVR_CST1","LZ_SOUTH","9.1","-1.55","101360773_1","101360773"
"12/31/2020","1","QCPSE1","CALAVER_JKS1","LZ_CPS","0",".25","51617969_1","51617969"
"12/31/2020","1","QCPSE1","CALAVER_JKS1","LZ_CPS","107.6",".25","51617969_2","51617969"
"12/31/2020","1","QCPSE1","CALAVER_JKS2","LZ_CPS","0",".25","109232782_1","109232782"
"12/31/2020","1","QCPSE1","CALAVER_JKS2","LZ_CPS","0",".25","54431793_1","54431793"
"12/31/2020","1","QCPSE1","CALAVER_JKS2","LZ_CPS","0",".25","54431794_1","54431794"
"12/31/2020","1","QCPSE1","CALAVER_JKS2","LZ_CPS","0",".25","54431795_1","54431795"
"12/31/2020","1","QCPSE1","CALAVER_JKS2","LZ_CPS","0",".25","59353880_1","59353880"
"12/31/2020","1","QCPSE1","CALAVER_JKS2","LZ_CPS","0",".25","59353881_1","59353881"
"12/31/2020","1","QCPSE1","CALAVER_JKS2","LZ_CPS","1.4",".25","54431795_2","54431795"
"12/31/2020","1","QCPSE1","CALAVER_JKS2","LZ_CPS","1.5",".25","54431793_2","54431793"
"12/31/2020","1","QCPSE1","CALAVER_JKS2","LZ_CPS","1.5",".25","54431794_2","54431794"
"12/31/2020","1","QCPSE1","CALAVER_JKS2","LZ_CPS","3.7",".25","59353880_2","59353880"
"12/31/2020","1","QCPSE1","CALAVER_JKS2","LZ_CPS","3.7",".25","59353881_2","59353881"
"12/31/2020","1","QCPSE1","CALAVER_JKS2","LZ_CPS","7.3",".25","109232782_2","109232782"
"12/31/2020","1","QCPSE1","CALAVER_JKS2","LZ_SOUTH",".5","-1.49","54431789_2","54431789"
"12/31/2020","1","QCPSE1","CALAVER_JKS2","LZ_SOUTH",".5","-1.49","54431790_2","54431790"
"12/31/2020","1","QCPSE1","CALAVER_JKS2","LZ_SOUTH",".5","-1.49","54431791_2","54431791"
"12/31/2020","1","QCPSE1","CALAVER_JKS2","LZ_SOUTH",".5","-1.49","54431792_2","54431792"
"12/31/2020","1","QCPSE1","CALAVER_JKS2","LZ_SOUTH",".5","-1.49","84816870_2","84816870"
"12/31/2020","1","QCPSE1","CALAVER_JKS2","LZ_SOUTH","1.8","-1.49","109232756_2","109232756"
"12/31/2020","1","QCPSE1","CALAVER_JKS2","LZ_SOUTH","1.8","-1.49","54431792_1","54431792"
"12/31/2020","1","QCPSE1","CALAVER_JKS2","LZ_SOUTH","1.8","-1.49","84816870_1","84816870"
"12/31/2020","1","QCPSE1","CALAVER_JKS2","LZ_SOUTH","2.2","-1.49","54431789_1","54431789"
"12/31/2020","1","QCPSE1","CALAVER_JKS2","LZ_SOUTH","2.2","-1.49","54431790_1","54431790"
"12/31/2020","1","QCPSE1","CALAVER_JKS2","LZ_SOUTH","2.2","-1.49","54431791_1","54431791"
"12/31/2020","1","QCPSE1","CALAVER_JKS2","LZ_SOUTH","7.3","-1.49","109232756_1","109232756"
"12/31/2020","1","QCPSE1","CEDROHI_CHW1","LZ_CPS","0","4.96","101411114_1","101411114"
"12/31/2020","1","QCPSE1","CEDROHI_CHW1","LZ_CPS","0","4.96","101411357_1","101411357"
"12/31/2020","1","QCPSE1","CEDROHI_CHW1","LZ_CPS","0","4.96","54431838_1","54431838"
"12/31/2020","1","QCPSE1","CEDROHI_CHW1","LZ_CPS","0","4.96","54431839_1","54431839"
"12/31/2020","1","QCPSE1","CEDROHI_CHW1","LZ_CPS","0","4.96","59353896_1","59353896"
"12/31/2020","1","QCPSE1","CEDROHI_CHW1","LZ_CPS","0","4.96","90367468_1","90367468"
"12/31/2020","1","QCPSE1","CEDROHI_CHW1","LZ_CPS","0","4.96","95573553_1","95573553"
"12/31/2020","1","QCPSE1","CEDROHI_CHW1","LZ_CPS","0","4.96","95573554_1","95573554"
"12/31/2020","1","QCPSE1","CEDROHI_CHW1","LZ_CPS",".1","4.96","95573553_2","95573553"
"12/31/2020","1","QCPSE1","CEDROHI_CHW1","LZ_CPS",".2","4.96","54431838_2","54431838"
